identifier,INF2cnt,INF4cnt,INF3cnt,INF2cnt_pvalue,INF4cnt_pvalue,INF3cnt_pvalue
group,WT,WT,MT,,,,
ENSMUSG00000000001,3005,2221,3674,0.1,0.001,1e-9
ENSMUSG00000000028,43,36,46
ENSMUSG00000000031,0,0,1
ENSMUSG00000000049,0,3,0
ENSMUSG00000000056,352,260,370
ENSMUSG00000000058,928,912,1868
ENSMUSG00000000078,9478,8990,9162
ENSMUSG00000000085,399,365,429
ENSMUSG00000000088,4879,4433,4338
ENSMUSG00000000093,0,3,1
ENSMUSG00000000125,2,0,0
ENSMUSG00000000126,6,30,2
ENSMUSG00000000127,774,539,593
ENSMUSG00000000131,1424,1235,1488
ENSMUSG00000000134,3942,3649,4092
ENSMUSG00000000142,10,0,0
ENSMUSG00000000148,218,237,195
ENSMUSG00000000149,6051,6486,8168
ENSMUSG00000000154,63,92,64
ENSMUSG00000000157,1,0,4
ENSMUSG00000000167,6,23,11
ENSMUSG00000000168,670,693,792
ENSMUSG00000000171,3680,3517,3728
ENSMUSG00000000184,99,97,61
ENSMUSG00000000194,1067,1153,1144
ENSMUSG00000000202,6,0,0
ENSMUSG00000000204,5,4,0
ENSMUSG00000000244,172,217,123
ENSMUSG00000000253,267,282,297
ENSMUSG00000000263,0,0,2
ENSMUSG00000000275,1240,1101,1131
ENSMUSG00000000276,255,145,246
ENSMUSG00000000278,10667,10068,10381
ENSMUSG00000000282,544,472,461
ENSMUSG00000000290,9044,8688,10259
ENSMUSG00000000295,275,328,207
ENSMUSG00000000296,0,0,1
ENSMUSG00000000301,29,62,29
ENSMUSG00000000303,0,0,3
ENSMUSG00000000318,97,80,81
ENSMUSG00000000320,0,1,1
ENSMUSG00000000325,0,1,4
ENSMUSG00000000326,50,37,49
ENSMUSG00000000339,700,645,800
ENSMUSG00000000340,182,131,199
ENSMUSG00000000346,21148,19057,24824
ENSMUSG00000000355,1256,948,1257
ENSMUSG00000000365,9,19,10
ENSMUSG00000000374,1188,1339,979
ENSMUSG00000000378,788,933,892
ENSMUSG00000000384,271,258,242
ENSMUSG00000000386,206,207,339
ENSMUSG00000000392,15,1,2
ENSMUSG00000000399,1957,1946,1831
ENSMUSG00000000409,11,11,6
ENSMUSG00000000411,1,0,4
ENSMUSG00000000420,1457,1247,1815
ENSMUSG00000000439,2113,1833,2046
ENSMUSG00000000440,598,525,695
ENSMUSG00000000441,3244,2796,3152
ENSMUSG00000000486,14,12,6
ENSMUSG00000000489,3239,3777,3093
ENSMUSG00000000530,405,424,379
ENSMUSG00000000531,18,20,21
ENSMUSG00000000532,119,137,129
ENSMUSG00000000538,399,356,395
ENSMUSG00000000552,703,642,738
ENSMUSG00000000555,6983,6502,7426
ENSMUSG00000000561,472,403,482
ENSMUSG00000000562,3,4,0
ENSMUSG00000000563,4718,4235,4491
ENSMUSG00000000567,0,1,0
ENSMUSG00000000568,2867,2303,3147
ENSMUSG00000000579,79,57,76
ENSMUSG00000000581,2633,1675,2507
ENSMUSG00000000594,6520,6218,7159
ENSMUSG00000000600,696,436,695
ENSMUSG00000000605,2034,1761,1820
ENSMUSG00000000628,585,502,505
ENSMUSG00000000631,578,641,491
ENSMUSG00000000673,6,9,6
ENSMUSG00000000682,6874,7353,5491
ENSMUSG00000000686,462,612,598
ENSMUSG00000000693,564,598,472
ENSMUSG00000000708,315,275,343
ENSMUSG00000000711,914,628,1055
ENSMUSG00000000724,0,1,1
ENSMUSG00000000730,51,38,44
ENSMUSG00000000731,0,0,1
ENSMUSG00000000732,964,672,994
ENSMUSG00000000738,411,431,355
ENSMUSG00000000740,773,919,707
ENSMUSG00000000743,4246,3820,4183
ENSMUSG00000000751,848,789,826
ENSMUSG00000000753,30,47,33
ENSMUSG00000000759,605,566,746
ENSMUSG00000000776,249,227,242
ENSMUSG00000000782,0,1,6
ENSMUSG00000000787,7601,5711,8018
ENSMUSG00000000791,1,6,3
ENSMUSG00000000804,266,230,330
ENSMUSG00000000811,342,275,272
ENSMUSG00000000817,0,0,7
ENSMUSG00000000823,220,226,276
ENSMUSG00000000826,3350,2761,3262
ENSMUSG00000000827,1578,1600,1542
ENSMUSG00000000838,884,466,1088
ENSMUSG00000000861,17,5,31
ENSMUSG00000000869,38,65,60
ENSMUSG00000000876,298,405,390
ENSMUSG00000000881,7,23,13
ENSMUSG00000000884,49,80,45
ENSMUSG00000000901,29,29,25
ENSMUSG00000000902,733,803,766
ENSMUSG00000000915,258,291,307
ENSMUSG00000000916,326,361,250
ENSMUSG00000000934,86,60,86
ENSMUSG00000000942,0,7,2
ENSMUSG00000000957,2887,2385,2546
ENSMUSG00000000958,934,842,870
ENSMUSG00000000959,770,754,770
ENSMUSG00000000976,587,583,575
ENSMUSG00000000982,3601,3935,3803
ENSMUSG00000000983,12,15,18
ENSMUSG00000001014,1,2,8
ENSMUSG00000001016,439,403,366
ENSMUSG00000001017,1545,1404,1473
ENSMUSG00000001018,2724,2359,2913
ENSMUSG00000001020,474,664,430
ENSMUSG00000001025,4253,5412,3958
ENSMUSG00000001027,1,0,0
ENSMUSG00000001029,28,26,25
ENSMUSG00000001034,688,725,722
ENSMUSG00000001036,93,53,45
ENSMUSG00000001039,11,11,13
ENSMUSG00000001052,921,1000,997
ENSMUSG00000001053,238,255,251
ENSMUSG00000001054,923,858,838
ENSMUSG00000001056,1929,2004,1682
ENSMUSG00000001062,533,443,485
ENSMUSG00000001065,363,323,354
ENSMUSG00000001082,676,751,765
ENSMUSG00000001089,1806,1899,1769
ENSMUSG00000001095,12,11,6
ENSMUSG00000001098,2257,2077,2562
ENSMUSG00000001100,1033,931,973
ENSMUSG00000001105,571,600,471
ENSMUSG00000001120,69,111,108
ENSMUSG00000001123,3463,3893,3303
ENSMUSG00000001127,1135,1009,1012
ENSMUSG00000001128,9687,9127,8727
ENSMUSG00000001131,5,6,1
ENSMUSG00000001134,487,426,329
ENSMUSG00000001138,436,449,585
ENSMUSG00000001143,333,335,321
ENSMUSG00000001150,448,333,456
ENSMUSG00000001151,406,475,467
ENSMUSG00000001156,447,384,488
ENSMUSG00000001157,351,361,371
ENSMUSG00000001158,717,799,718
ENSMUSG00000001166,48,51,54
ENSMUSG00000001173,505,454,607
ENSMUSG00000001175,20652,19533,19894
ENSMUSG00000001211,1658,1556,1525
ENSMUSG00000001227,55,83,62
ENSMUSG00000001228,53,61,62
ENSMUSG00000001229,546,544,607
ENSMUSG00000001240,5,3,5
ENSMUSG00000001247,60,38,72
ENSMUSG00000001248,1137,1068,1079
ENSMUSG00000001249,77,74,84
ENSMUSG00000001270,3692,4801,3819
ENSMUSG00000001280,1106,868,880
ENSMUSG00000001281,108,149,150
ENSMUSG00000001285,194,302,247
ENSMUSG00000001288,151,127,117
ENSMUSG00000001289,2805,3053,2308
ENSMUSG00000001300,7,6,13
ENSMUSG00000001305,340,337,341
ENSMUSG00000001313,256,286,203
ENSMUSG00000001323,553,509,577
ENSMUSG00000001333,135,175,132
ENSMUSG00000001334,0,0,4
ENSMUSG00000001348,63,87,78
ENSMUSG00000001349,1,0,0
ENSMUSG00000001366,454,487,439
ENSMUSG00000001376,807,502,909
ENSMUSG00000001380,840,960,939
ENSMUSG00000001383,1830,1727,1481
ENSMUSG00000001403,132,146,113
ENSMUSG00000001415,519,499,563
ENSMUSG00000001416,3748,3199,3400
ENSMUSG00000001418,4506,4320,4380
ENSMUSG00000001419,1880,1924,1973
ENSMUSG00000001420,90,96,127
ENSMUSG00000001424,1495,1475,1610
ENSMUSG00000001435,347,345,341
ENSMUSG00000001436,254,333,329
ENSMUSG00000001440,1318,1306,1329
ENSMUSG00000001441,1000,796,962
ENSMUSG00000001445,697,707,580
ENSMUSG00000001467,2314,1944,2556
ENSMUSG00000001472,4271,4431,4110
ENSMUSG00000001473,5129,5035,4553
ENSMUSG00000001482,739,670,692
ENSMUSG00000001493,5,0,0
ENSMUSG00000001507,2,1,0
ENSMUSG00000001517,63,42,74
ENSMUSG00000001518,116,116,139
ENSMUSG00000001520,21,19,19
ENSMUSG00000001521,64,48,58
ENSMUSG00000001524,155,193,164
ENSMUSG00000001525,3226,3923,3200
ENSMUSG00000001542,4021,2878,4135
ENSMUSG00000001552,75,104,107
ENSMUSG00000001555,1,0,0
ENSMUSG00000001558,0,0,1
ENSMUSG00000001569,920,907,946
ENSMUSG00000001576,1028,1026,1066
ENSMUSG00000001583,69,89,68
ENSMUSG00000001588,7,7,5
ENSMUSG00000001604,11,21,12
ENSMUSG00000001627,3024,2364,3177
ENSMUSG00000001630,262,219,274
ENSMUSG00000001632,1401,1297,1558
ENSMUSG00000001642,1195,1287,1212
ENSMUSG00000001663,11,32,23
ENSMUSG00000001665,82,122,106
ENSMUSG00000001666,172,178,136
ENSMUSG00000001674,364,405,402
ENSMUSG00000001687,5529,4502,6133
ENSMUSG00000001700,387,391,528
ENSMUSG00000001707,365,403,368
ENSMUSG00000001729,8306,8598,8697
ENSMUSG00000001739,1,0,0
ENSMUSG00000001741,340,329,272
ENSMUSG00000001750,8587,8723,7983
ENSMUSG00000001751,4575,4834,4686
ENSMUSG00000001755,450,500,505
ENSMUSG00000001761,40,12,35
ENSMUSG00000001763,85,83,90
ENSMUSG00000001767,866,549,835
ENSMUSG00000001768,3344,2720,4167
ENSMUSG00000001774,393,292,572
ENSMUSG00000001783,2721,3139,2862
ENSMUSG00000001785,701,646,769
ENSMUSG00000001786,451,422,561
ENSMUSG00000001794,3909,3857,3330
ENSMUSG00000001827,17,8,10
ENSMUSG00000001829,409,470,322
ENSMUSG00000001833,4002,2571,4345
ENSMUSG00000001844,1055,1144,1154
ENSMUSG00000001847,12620,11652,14193
ENSMUSG00000001855,1289,1027,1295
ENSMUSG00000001865,8,2,0
ENSMUSG00000001870,6,10,6
ENSMUSG00000001891,1925,1436,2082
ENSMUSG00000001901,0,1,0
ENSMUSG00000001909,494,503,437
ENSMUSG00000001910,374,380,514
ENSMUSG00000001911,216,254,265
ENSMUSG00000001918,720,758,711
ENSMUSG00000001924,3248,3007,3130
ENSMUSG00000001930,390,434,335
ENSMUSG00000001942,937,706,935
ENSMUSG00000001946,0,11,0
ENSMUSG00000001948,22,36,19
ENSMUSG00000001962,1136,1167,947
ENSMUSG00000001964,221,538,205
ENSMUSG00000001983,64,66,30
ENSMUSG00000001986,7,6,1
ENSMUSG00000001988,8,7,9
ENSMUSG00000001995,283,425,578
ENSMUSG00000001998,185,133,179
ENSMUSG00000001999,3280,3201,2988
ENSMUSG00000002006,2,4,0
ENSMUSG00000002007,4,2,20
ENSMUSG00000002010,2163,2147,2146
ENSMUSG00000002012,0,0,6
ENSMUSG00000002014,2898,3047,2368
ENSMUSG00000002015,4759,4447,4920
ENSMUSG00000002017,227,177,213
ENSMUSG00000002020,12,5,6
ENSMUSG00000002028,809,791,695
ENSMUSG00000002031,330,365,290
ENSMUSG00000002032,29,6,12
ENSMUSG00000002043,764,998,655
ENSMUSG00000002052,815,893,896
ENSMUSG00000002055,5,4,23
ENSMUSG00000002058,343,359,255
ENSMUSG00000002059,327,335,369
ENSMUSG00000002064,1166,1121,998
ENSMUSG00000002068,59,25,39
ENSMUSG00000002076,29,9,6
ENSMUSG00000002083,372,417,384
ENSMUSG00000002100,31,29,20
ENSMUSG00000002102,3303,3534,3000
ENSMUSG00000002103,6352,5255,6341
ENSMUSG00000002104,195,239,176
ENSMUSG00000002105,490,545,535
ENSMUSG00000002107,2671,2539,3045
ENSMUSG00000002108,278,252,263
ENSMUSG00000002109,1549,1331,1592
ENSMUSG00000002111,11840,12032,11707
ENSMUSG00000002129,659,665,735
ENSMUSG00000002147,3700,3562,4084
ENSMUSG00000002204,1362,1561,1325
ENSMUSG00000002205,811,874,834
ENSMUSG00000002210,1202,1197,1107
ENSMUSG00000002221,321,293,459
ENSMUSG00000002222,1209,960,1222
ENSMUSG00000002227,113,148,169
ENSMUSG00000002228,5,3,5
ENSMUSG00000002233,827,978,788
ENSMUSG00000002249,1,0,0
ENSMUSG00000002250,86,75,61
ENSMUSG00000002257,350,349,318
ENSMUSG00000002274,198,281,211
ENSMUSG00000002279,358,410,353
ENSMUSG00000002280,988,1160,949
ENSMUSG00000002289,22,30,24
ENSMUSG00000002297,467,390,487
ENSMUSG00000002307,733,931,820
ENSMUSG00000002308,126,203,135
ENSMUSG00000002319,371,411,454
ENSMUSG00000002320,930,798,947
ENSMUSG00000002324,0,2,0
ENSMUSG00000002325,748,919,858
ENSMUSG00000002326,1122,1059,1061
ENSMUSG00000002329,602,676,640
ENSMUSG00000002332,840,890,917
ENSMUSG00000002342,479,392,355
ENSMUSG00000002343,99,78,66
ENSMUSG00000002345,258,272,267
ENSMUSG00000002346,16,12,23
ENSMUSG00000002365,1674,1742,2053
ENSMUSG00000002372,857,848,807
ENSMUSG00000002379,1876,2173,1666
ENSMUSG00000002384,100,108,85
ENSMUSG00000002393,409,545,459
ENSMUSG00000002395,1518,1830,1290
ENSMUSG00000002396,768,941,780
ENSMUSG00000002409,125,194,187
ENSMUSG00000002413,787,512,935
ENSMUSG00000002416,312,247,218
ENSMUSG00000002428,337,193,311
ENSMUSG00000002455,999,908,968
ENSMUSG00000002458,1674,1907,1904
ENSMUSG00000002475,31,53,76
ENSMUSG00000002477,1242,935,993
ENSMUSG00000002486,62,113,108
ENSMUSG00000002489,79,109,87
ENSMUSG00000002496,838,880,878
ENSMUSG00000002500,0,1,0
ENSMUSG00000002504,7,7,1
ENSMUSG00000002524,2448,2410,2357
ENSMUSG00000002546,733,697,747
ENSMUSG00000002550,636,569,655
ENSMUSG00000002578,0,1,1
ENSMUSG00000002580,1219,1452,1098
ENSMUSG00000002588,0,1,0
ENSMUSG00000002602,2040,1875,2358
ENSMUSG00000002603,4622,4457,4531
ENSMUSG00000002608,376,416,475
ENSMUSG00000002617,75,82,96
ENSMUSG00000002625,705,743,669
ENSMUSG00000002635,562,644,521
ENSMUSG00000002658,1059,1297,987
ENSMUSG00000002660,550,583,532
ENSMUSG00000002661,176,206,194
ENSMUSG00000002668,424,307,316
ENSMUSG00000002679,636,567,621
ENSMUSG00000002699,2294,1873,2536
ENSMUSG00000002718,661,554,862
ENSMUSG00000002728,2963,2667,2956
ENSMUSG00000002731,364,320,369
ENSMUSG00000002732,166,185,166
ENSMUSG00000002733,592,451,669
ENSMUSG00000002741,3199,2790,3087
ENSMUSG00000002748,899,808,759
ENSMUSG00000002763,247,236,260
ENSMUSG00000002767,810,1007,774
ENSMUSG00000002768,1004,1088,864
ENSMUSG00000002769,12,19,16
ENSMUSG00000002771,12,11,8
ENSMUSG00000002778,653,787,619
ENSMUSG00000002781,72,61,51
ENSMUSG00000002791,1,0,0
ENSMUSG00000002797,60,50,69
ENSMUSG00000002799,19,27,10
ENSMUSG00000002803,187,243,227
ENSMUSG00000002804,383,392,343
ENSMUSG00000002808,2,20,9
ENSMUSG00000002812,3445,2996,3110
ENSMUSG00000002814,389,321,392
ENSMUSG00000002820,382,370,318
ENSMUSG00000002825,140,170,172
ENSMUSG00000002831,1,4,0
ENSMUSG00000002833,359,371,371
ENSMUSG00000002835,122,128,115
ENSMUSG00000002844,1393,1400,1326
ENSMUSG00000002845,241,203,239
ENSMUSG00000002846,36,31,42
ENSMUSG00000002847,2,0,0
ENSMUSG00000002870,209,254,218
ENSMUSG00000002871,2522,2719,2463
ENSMUSG00000002881,3576,2110,3945
ENSMUSG00000002885,1319,1269,1392
ENSMUSG00000002897,3645,2969,3517
ENSMUSG00000002900,0,3,2
ENSMUSG00000002908,8,14,11
ENSMUSG00000002910,489,433,473
ENSMUSG00000002944,20524,15156,24125
ENSMUSG00000002948,586,539,526
ENSMUSG00000002949,770,572,584
ENSMUSG00000002957,1989,1465,1959
ENSMUSG00000002963,498,570,465
ENSMUSG00000002968,701,657,688
ENSMUSG00000002980,6,1,9
ENSMUSG00000002981,3699,3374,4052
ENSMUSG00000002983,3508,3497,3446
ENSMUSG00000002984,889,1098,871
ENSMUSG00000002985,443035,490725,389614
ENSMUSG00000002996,6609,4776,7722
ENSMUSG00000002997,762,535,798
ENSMUSG00000003031,94,109,91
ENSMUSG00000003032,276,319,247
ENSMUSG00000003033,1622,1596,1516
ENSMUSG00000003037,2939,3187,3158
ENSMUSG00000003038,921,873,908
ENSMUSG00000003039,3051,2784,2680
ENSMUSG00000003062,2433,2263,2556
ENSMUSG00000003068,433,682,346
ENSMUSG00000003070,22,37,30
ENSMUSG00000003072,2808,3289,2669
ENSMUSG00000003099,492,639,612
ENSMUSG00000003119,515,351,473
ENSMUSG00000003123,111,172,151
ENSMUSG00000003131,1966,1417,2346
ENSMUSG00000003134,519,494,601
ENSMUSG00000003135,550,614,604
ENSMUSG00000003153,125,111,178
ENSMUSG00000003154,906,791,1095
ENSMUSG00000003161,4071,3647,4031
ENSMUSG00000003166,895,828,914
ENSMUSG00000003184,327,465,346
ENSMUSG00000003190,66,84,98
ENSMUSG00000003198,334,152,392
ENSMUSG00000003199,994,1117,866
ENSMUSG00000003200,1557,1534,1544
ENSMUSG00000003206,532,501,460
ENSMUSG00000003208,353,392,375
ENSMUSG00000003226,1874,1131,2088
ENSMUSG00000003228,88,85,73
ENSMUSG00000003233,155,139,182
ENSMUSG00000003234,575,610,619
ENSMUSG00000003235,864,738,753
ENSMUSG00000003269,1168,1285,1043
ENSMUSG00000003271,7,7,4
ENSMUSG00000003273,8,6,6
ENSMUSG00000003279,4,0,4
ENSMUSG00000003282,14,8,11
ENSMUSG00000003283,2540,2281,2617
ENSMUSG00000003299,1046,1013,1014
ENSMUSG00000003308,1154,1114,1184
ENSMUSG00000003316,2916,2893,3174
ENSMUSG00000003341,0,6,0
ENSMUSG00000003344,281,243,229
ENSMUSG00000003345,1643,1828,1733
ENSMUSG00000003346,1384,1888,1648
ENSMUSG00000003348,1830,1955,2102
ENSMUSG00000003352,0,8,1
ENSMUSG00000003355,16,8,14
ENSMUSG00000003360,80,146,77
ENSMUSG00000003363,20160,20869,19271
ENSMUSG00000003378,10,12,16
ENSMUSG00000003379,3,9,4
ENSMUSG00000003380,3614,4734,3331
ENSMUSG00000003382,3911,3537,4112
ENSMUSG00000003402,899,1027,877
ENSMUSG00000003410,1,1,0
ENSMUSG00000003411,5,26,12
ENSMUSG00000003418,30,21,19
ENSMUSG00000003420,3427,3674,3303
ENSMUSG00000003421,840,1004,822
ENSMUSG00000003423,610,792,590
ENSMUSG00000003429,5829,6261,5127
ENSMUSG00000003435,1794,1606,1738
ENSMUSG00000003437,1411,1279,1313
ENSMUSG00000003438,911,924,856
ENSMUSG00000003444,387,437,369
ENSMUSG00000003452,1,3,0
ENSMUSG00000003458,4726,4215,5287
ENSMUSG00000003464,1728,1498,1716
ENSMUSG00000003484,415,380,348
ENSMUSG00000003500,459,516,451
ENSMUSG00000003518,3700,3995,3651
ENSMUSG00000003526,75,109,97
ENSMUSG00000003527,682,572,610
